Symbol,Name
HWQS,Haseeb Waqas Sugar Mills Limited
IBFL,Ibrahim Fibres Limited
IBLHL,IBL HealthCare Limited
ICCI,ICC Industries Limited
ICIBL,Invest Capital Investment Bank Limited
ICL,Ittehad Chemicals Limted
IDRT,Idrees Textile Mills Limited
IDSM,Ideal Spinning Mills Limited
IDYM,Indus Dyeing & Manufacturing Co. Limited
IGIHL,IGI Holdings Limited
IGIL,IGI Life Insurance Limited
ILP,Interloop Limited
ILP-OCTB,-
IMAGE,Image Pakistan Limited
IMAGE-NOVB,-
IMAGE-OCT,-
IMAGE-OCTB,-
IML,Imperial  Limited
IMS,Intermarket Securities Limited
INDU,Indus Motor Company Limited
INIL,International Industries Limited
INIL-OCTB,-
INKL,International Knitwear Limited
IPAK,International Packaging Films Limited
IREIT,Image Reit
ISIL,Ismail Industries Limited
ISL,International Steels Limited
ISL-OCTB,-
ITTEFAQ,Ittefaq Iron Industries Limited
JATM,J.A. Textile Mills Limited
JDMT,Janana De Malucho Textile Mills Limited
JDWS,JDW Sugar Mills Limited
JGICL,Jubilee General Insurance Limited
JKSM,J.K. Spinning Mills Limited
JLICL,Jubilee Life Insurance Company Limited
JSBL,JS Bank Limited
JSBL-OCT,-
JSCL,Jahangir Siddiqui & Co. Ltd.
JSCLPSA,Jahangir Sidd(Pref)
JSGBETF,JS Global Banking Sector(ETF)
JSGCL,JS Global Capital Limited
JSIL,JS Investments Limited
JSMFETF,JS Momentum Factor Exchange Traded Fund
JSML,Jauharabad Sugar Mills Limited
JUBS,Jubilee Spinning & Weaving Mills Ltd.
JVDC,Javedan Corporation Limited
KAPCO,Kot Addu Power Company Limited
KAPCO-OCTB,-
KCL,Karam Ceramics Limited
KEL,K-Electric Limited
KEL-DEC,-
KEL-NOV,-
KEL-OCT,-
KHTC,Khyber Tobacco Company Limited
KHYT,Khyber Textile Mills Limited
KML,Kohinoor Mills Limited
KOHC,Kohat Cement Company Limited
KOHE,Kohinoor Energy Limited
KOHP,Kohinoor Power Company Limited
KOHTM,Kohat Textile Mills Limited
KOIL,Kohinoor Industries Limited
KOSM,Kohinoor Spinning Mills Limited
KOSM-NOV,-
KOSM-OCT,-
KPUS,Khairpur Sugar Mills Limited
KSBP,KSB Pumps Company Limited
KSTM,Khalid Siraj Textile Mills Limited
KTML,Kohinoor Textile Mills Limited
LCI,Lucky Core Industries Limited
LEUL,Leather Up Limited
LIVEN,Liven Pharma Limited
LOADS,Loads Limited
LOTCHEM,Lotte Chemical Pakistan Limited
LOTCHEM-OCTB,-
LPGL,Leiner Pak Gelatine Limited
LPL,Lalpir Power Limited
LPL-OCT,-
LSECL,LSE Capital Limited.
LSEFSL,LSE Financial Services Limited.
LSEVL,LSE Ventures Limited
LUCK,Lucky Cement Limited
LUCK-OCTB,-
MACFL,MACPAC Films Limited
MACTER,Macter International Limited
MARI,Mari Energies Limited
MARI-OCTB,-
MCB,MCB Bank Limited
MCB-OCTB,-
MCBIM,MCB Investment Management Limited.
MDTL,Media Times Limited
MEBL,Meezan Bank Limited
MEBL-OCTB,-
MEHT,Mehmood Textile Mills Limited
MERIT,Merit Packaging Limited
MFFL,Mitchells Fruit Farms Limited
MFL,Matco Foods Limited
MIIETF,Mahaana Islamic Index ETF
MIRKS,Mirpurkhas Sugar Mills Limited
MLCF,Maple Leaf Cement Factory Limited
MLCF-OCT,-
MQTM,Maqbool Textile Mills Limited
MRNS,Mehran Sugar Mills Limited
MSCL,Metropolitan Steel Corporation Limited
MSOT,Masood Textile Mills Limited
MTL,Millat Tractors Limited
MUGHAL,Mughal Iron & Steel Industries Limited
MUGHAL-OCT,-
MUGHALC,Mughal Iron & Steel Industries Ltd(C)
MUREB,Murree Brewery Company Limited
MWMP,Mandviwala Mauser Plastic Industries
MZNPETF,Meezan Pakistan ETF
NAGC,Nagina Cotton Mills Limited
NATF,National Foods Limited
NBP,National Bank of Pakistan
NBP-OCT,-
NBPGETF,NBP Pakistan  Growth ETF
NCL,Nishat Chunian Limited
NCML,Nazir Cotton Mills Limited
NCPL,Nishat Chunian Power Limited
NCPL-OCT,-
NESTLE,Nestle Pakistan Limited
NETSOL,NetSol Technologies Limited
NETSOL-OCT,-
NEXT,Next Capital Limited
NICL,Nimir Industrial Chemicals Limited
NITGETF,NIT Pakistan Gateway ETF
NML,Nishat Mills Limited
NML-OCTB,-
NONS,Noon Sugar Mills Limited
NPL,Nishat Power Limited
NPL-OCT,-
NRL,National Refinery Limited
NRL-OCT,-
NRSL,Nimir Resins Limited
NSRM,The National Silk & Rayon Mills Limited
OBOY,Oilboy Energy Limited
OCTOPUS,Octopus Digital Limited
OCTOPUS-OCT,-
OGDC,Oil & Gas Development Company Limited
OGDC-OCT,-
OGDC-OCTB,-
OLPL,OLP Financial Services Pakistan Limited
OLPM,OLP Modaraba
OML,Olympia Mills Limited
ORM,Orient Rental Mod
OTSU,Otsuka Pakistan Limited
P01GIS031225,-
P01GIS061125,-
P01GIS080126,-
P01GIS200826,-
P01GIS290526,-
P01GIS290926,-
PABC,Pakistan Aluminium Beverage Cans Limited
PACE,Pace (Pakistan) Limited
PACE-NOV,-
PACE-OCT,-
PAEL,Pak Elektron Limited
PAEL-OCT,-
PAKD,Pak Datacom Limited
PAKL,Pak Leather Crafts Limited
PAKOXY,Pakistan Oxygen Limited
PAKRI,Pakistan Reinsurance Company Limited
PAKRI-OCT,-
PAKT,Pakistan Tobacco Company Limited
PASL,Pervez Ahmed Consultancy Services Ltd.
PASM,Paramount Spinning Mills Limited
PCAL,Pakistan Cables Limited
PECO,Pakistan Engineering Company Limited
PGLC,Pak-Gulf Leasing Company Limited
PIAHCLA,PIA Holding Company Limited
PIAHCLA-NOV,-
PIAHCLA-OCT,-
PIAHCLB,PIA Holding Company LimitedB
PIBTL,Pakistan International Bulk Terminal
PIBTL-OCT,-
PICT,Pakistan International Container
PIL,PICIC Insurance Limited
PIM,Popular Islamic Modaraba
PINL,Premier Insurance Limited
PIOC,Pioneer Cement Limited
PIOC-OCTB,-
PKGI,The Pakistan General Insurance Co. Ltd.
PKGP,Pakgen Power Limited
PKGS,Packages Limited
PMRS,The Premier Sugar Mills
PNSC,Pakistan National Shipping Corporation
POL,Pakistan Oilfields Limited
POL-OCTB,-
POML,Punjab Oil Mills Limited
POWER,Power Cement Limited
POWER-OCT,-
POWERPS,Power Cement (Pref)
PPL,Pakistan Petroleum Limited
PPL-OCTB,-
PPP,Pakistan Paper Products Limited
PPVC,Pakistan PVC Limited
PREMA,At-Tahur Limited
PREMA-OCT,-
PRET,Premium Textile Mills Limited
PRL,Pakistan Refinery Limited
PRL-OCT,-
PRWM,Prosperity Weaving Mills Limited
PSEL,Pakistan Services Limited
PSO,Pakistan State Oil Company Limited
PSO-NOVB,-
PSO-OCTB,-
PSX,Pakistan Stock Exchange Limited
PSYL,Pakistan Synthetics Limited
PTC,Pakistan Telecommunication Company Ltd
PTC-OCT,-
PTL,Panther Tyres Ltd.
QUET,Quetta Textile Mills Limited
QUICE,Quice Food Industries Limited
RCML,Reliance Cotton Spinning Mills Limited
REDCO,Redco Textiles Limited
REWM,Reliance Weaving Mills Limited
RICL,Reliance Insurance Company Limited
RMPL,Rafhan Maize Products Company Limited
RPL,Roshan Packages Limited
RUBY,Ruby Textile Mills Limited
RUPL,Rupali Polyester Limited
SAIF,Saif Textile Mills Limited
SANSM,Sanghar Sugar Mills Limited
SAPT,Sapphire Textile Mills Limited
SARC,Sardar Chemical Industries Limited
SASML,Sindh Abadgars Sugar Mills Limited
SAZEW,Sazgar Engineering Works Limited
SAZEW-OCTB,-
SBL,Samba Bank Limited
SCBPL,Standard Chartered Bank (Pak) Ltd
SCL,Shield Corporation Limited
SEARL,The Searle Company Limited
SEARL-OCTB,-
SEL,Sitara Energy Limited
SEPL,Security Papers Limited
SERT,Service Industries Textiles Limited
SFL,Sapphire Fibres Limited
SGF,Service GlobalFootwear Limited
SGPL,S.G. Power Limited
SHCM,Shadman Cotton Mills Limited
SHDT,Shadab Textile Mills Limited
SHEZ,Shezan International Limited
SHFA,Shifa International Hospitals Limited
SHJS,Shahtaj Sugar Mills Limited
SHNI,Shaheen Insurance Company Limited
SHSML,Shahmurad Sugar Mills Limited
SIBL,Security Investment Bank Limited
SIEM,Siemens (Pakistan) Engineering
SINDM,Sindh Modaraba
SITC,Sitara Chemical Industries Limited
SKRS,Sakrand Sugar Mills Limited
SLGL,Secure Logistics-Trax Group Limited
SLYT,Sally Textile Mills Limited
SMCPL,Safe Mix Concrete Limited
SML,Shakarganj Limited
SNAI,Sana Industries Limited
SNBL,Soneri Bank Limited
SNBL-OCT,-
SNGP,Sui Northern Gas Pipelines Limited
SNGP-OCT,-
SPEL,SPEL Limited
SPL,Sitara Peroxide Limited
SPWL,Saif Power Limited
SRVI,Service Industries Limited
SSGC,Sui Southern Gas Company Limited
SSGC-OCT,-
SSML,Saritow Spinning Mills Limited
SSOM,S.S.Oil Mills Limited
STCL,Shabbir Tiles & Ceramics Limited
STJT,Shahtaj Textile Limited
STL,Supernet Technologies Limited
STML,Shams Textile Mills Limited
STPL,Siddiqsons Tin Plate Limited
STYLERS,Stylers International Limited
SUHJ,Suhail Jute Mills Limited
SURC,Suraj Cotton Mills Limited
SUTM,Sunrays Textile Mills Limited
SYM,Symmetry Group Limited
SYM-NOV,-
SYM-NOVB,-
SYM-OCT,-
SYM-OCTB,-
SYS,Systems Limited
SYS-OCT,-
SZTM,Shahzad Textile Mills Limited
TATM,Tata Textile Mills Limited
TBL,Treet Battery Limited.
TCORP,Tariq Corporation Limited
TCORPCPS,Tariq Corporation Limited(Pref)
TELE,Telecard Limited
TELE-OCT,-
TGL,Tariq Glass Industries Limited
THALL,Thal Limited
THCCL,Thatta Cement Company Limited
THCCL-OCT,-
TICL,The Thal Industries Corporation Limited
TOMCL,The Organic Meat Company Limited
TOMCL-OCTB,-
TOWL,Towellers Limited
TPL,TPL Corp Limited
TPLI,TPL Insurance Limited
TPLL,TPL Life Insurance Limited
TPLP,TPL Properties Limited
TPLP-OCT,-
TPLRF1,TPL REIT Fund I
TPLT,TPL Trakker Limited
TREET,Treet Corporation Limited
TREET-OCT,-
TRG,TRG Pakistan Limited
TRG-NOV,-
TRG-OCT,-
TRIPF,Tri-Pack Films Limited
TRSM,Trust Modaraba
TSBL,Trust Securities & Brokerage Limited
TSMF,Tri-Star Mutual Fund Limited
TSML,Tandlianwala Sugar Mills Limited
TSPL,Tri-Star Power Limited
UBDL,United Brands Limited
UBL,United Bank Limited
UBL-OCT,-
UBLPETF,UBLPakistan Enterprise ETF
UCAPM,Unicap Modaraba
UDLI,UDL International Limited
UDPL,United Distributors Pakistan Limited
UNIC,The United Insurance Company
UNITY,Unity Foods Limited
UNITY-OCT,-
UPFL,Unilever Pakistan Foods Limited
UVIC,The Universal Insurance Company Limited
WAFI,Wafi Energy Pakistan Limited
WAHN,Wah Noble Chemicals Limited
WASL,Wasl Mobility Modaraba
WAVES,Waves Corporation Limited
WAVES-OCT,-
WAVESAPP,Waves Home Appliances Limited
WAVESAPP-OCT,-
WTL,Worldcall Telecom Limited
WTL-NOV,-
WTL-OCT,-
YOUW,Yousaf Weaving Mills Limited
YOUW-OCT,-
ZAHID,Zahidjee Textile Mills Limited
ZAL,Zarea Limited
ZIL,ZIL Limited
ZTL,Zephyr Textiles Limited
,
,
